2m,4m,6m,mm (onlyライブたたき=>1エレガントのセット)
0,0,0,0,0
0,0,0,1,4200
0,0,1,0,4620
0,1,0,0,4932
1,0,0,0,5130
0,0,0,2,8400
0,0,1,1,8820
0,1,0,1,9132
0,0,2,0,9240
1,0,0,1,9330
0,1,1,0,9552
1,0,1,0,9750
0,2,0,0,9864
1,1,0,0,10062
2,0,0,0,10260
0,0,0,3,12600
0,0,1,2,13020
0,1,0,2,13332
0,0,2,1,13440
1,0,0,2,13530
0,1,1,1,13752
0,0,3,0,13860
1,0,1,1,13950
0,2,0,1,14064
0,1,2,0,14172
1,1,0,1,14262
1,0,2,0,14370
2,0,0,1,14460
0,2,1,0,14484
1,1,1,0,14682
0,3,0,0,14796
2,0,1,0,14880
1,2,0,0,14994
2,1,0,0,15192
3,0,0,0,15390
0,0,0,4,16800
0,0,1,3,17220
0,1,0,3,17532
0,0,2,2,17640
1,0,0,3,17730
0,1,1,2,17952
0,0,3,1,18060
1,0,1,2,18150
0,2,0,2,18264
0,1,2,1,18372
1,1,0,2,18462
0,0,4,0,18480
1,0,2,1,18570
2,0,0,2,18660
0,2,1,1,18684
0,1,3,0,18792
1,1,1,1,18882
1,0,3,0,18990
0,3,0,1,18996
2,0,1,1,19080
0,2,2,0,19104
1,2,0,1,19194
1,1,2,0,19302
2,1,0,1,19392
0,3,1,0,19416
2,0,2,0,19500
3,0,0,1,19590
1,2,1,0,19614
0,4,0,0,19728
2,1,1,0,19812
1,3,0,0,19926
3,0,1,0,20010
2,2,0,0,20124
3,1,0,0,20322
4,0,0,0,20520
0,0,0,5,21000
0,0,1,4,21420
0,1,0,4,21732
0,0,2,3,21840
1,0,0,4,21930
0,1,1,3,22152
0,0,3,2,22260
1,0,1,3,22350
0,2,0,3,22464
0,1,2,2,22572
1,1,0,3,22662
0,0,4,1,22680
1,0,2,2,22770
2,0,0,3,22860
0,2,1,2,22884
0,1,3,1,22992
1,1,1,2,23082
0,0,5,0,23100
1,0,3,1,23190
0,3,0,2,23196
2,0,1,2,23280
0,2,2,1,23304
1,2,0,2,23394
0,1,4,0,23412
1,1,2,1,23502
2,1,0,2,23592
1,0,4,0,23610
0,3,1,1,23616
2,0,2,1,23700
0,2,3,0,23724
3,0,0,2,23790
1,2,1,1,23814
1,1,3,0,23922
0,4,0,1,23928
2,1,1,1,24012
0,3,2,0,24036
2,0,3,0,24120
1,3,0,1,24126
3,0,1,1,24210
1,2,2,0,24234
2,2,0,1,24324
0,4,1,0,24348
