2M,4M,6M,MM,
0,0,0,0,0
1,0,0,0,107
0,1,0,0,122
0,0,1,0,135
0,0,0,1,150
2,0,0,0,214
1,1,0,0,229
1,0,1,0,242
0,2,0,0,244
0,1,1,0,257
1,0,0,1,257
0,0,2,0,270
0,1,0,1,272
0,0,1,1,285
0,0,0,2,300
3,0,0,0,321
2,1,0,0,336
2,0,1,0,349
1,2,0,0,351
1,1,1,0,364
2,0,0,1,364
0,3,0,0,366
1,0,2,0,377
0,2,1,0,379
1,1,0,1,379
0,1,2,0,392
1,0,1,1,392
0,2,0,1,394
0,0,3,0,405
0,1,1,1,407
1,0,0,2,407
0,0,2,1,420
0,1,0,2,422
4,0,0,0,428
0,0,1,2,435
3,1,0,0,443
0,0,0,3,450
3,0,1,0,456
2,2,0,0,458
2,1,1,0,471
3,0,0,1,471
1,3,0,0,473
2,0,2,0,484
1,2,1,0,486
2,1,0,1,486
0,4,0,0,488
1,1,2,0,499
2,0,1,1,499
0,3,1,0,501
1,2,0,1,501
1,0,3,0,512
0,2,2,0,514
1,1,1,1,514
2,0,0,2,514
0,3,0,1,516
0,1,3,0,527
1,0,2,1,527
0,2,1,1,529
1,1,0,2,529
5,0,0,0,535
0,0,4,0,540
0,1,2,1,542
1,0,1,2,542
0,2,0,2,544
4,1,0,0,550
0,0,3,1,555
0,1,1,2,557
1,0,0,3,557
4,0,1,0,563
3,2,0,0,565
0,0,2,2,570
0,1,0,3,572
3,1,1,0,578
4,0,0,1,578
2,3,0,0,580
0,0,1,3,585
3,0,2,0,591
2,2,1,0,593
3,1,0,1,593
1,4,0,0,595
0,0,0,4,600
2,1,2,0,606
3,0,1,1,606
1,3,1,0,608
2,2,0,1,608
0,5,0,0,610
2,0,3,0,619
1,2,2,0,621
2,1,1,1,621
3,0,0,2,621
0,4,1,0,623
1,3,0,1,623
1,1,3,0,634
2,0,2,1,634
0,3,2,0,636
1,2,1,1,636
2,1,0,2,636
0,4,0,1,638
6,0,0,0,642
1,0,4,0,647
0,2,3,0,649
1,1,2,1,649
2,0,1,2,649
0,3,1,1,651
1,2,0,2,651
5,1,0,0,657
0,1,4,0,662
1,0,3,1,662
0,2,2,1,664
1,1,1,2,664
2,0,0,3,664
0,3,0,2,666
5,0,1,0,670
4,2,0,0,672
0,0,5,0,675
0,1,3,1,677
1,0,2,2,677
0,2,1,2,679
1,1,0,3,679
4,1,1,0,685
5,0,0,1,685
3,3,0,0,687
0,0,4,1,690
0,1,2,2,692
1,0,1,3,692
0,2,0,3,694
4,0,2,0,698
3,2,1,0,700
4,1,0,1,700
2,4,0,0,702
0,0,3,2,705
0,1,1,3,707
1,0,0,4,707
3,1,2,0,713
4,0,1,1,713
2,3,1,0,715
3,2,0,1,715
1,5,0,0,717
0,0,2,3,720
0,1,0,4,722
3,0,3,0,726
2,2,2,0,728
3,1,1,1,728
4,0,0,2,728
1,4,1,0,730
2,3,0,1,730
0,6,0,0,732
0,0,1,4,735
2,1,3,0,741
3,0,2,1,741
1,3,2,0,743
2,2,1,1,743
3,1,0,2,743
0,5,1,0,745
1,4,0,1,745
7,0,0,0,749
0,0,0,5,750
2,0,4,0,754
1,2,3,0,756
2,1,2,1,756
3,0,1,2,756
0,4,2,0,758
1,3,1,1,758
2,2,0,2,758
0,5,0,1,760
6,1,0,0,764
1,1,4,0,769
2,0,3,1,769
0,3,3,0,771
1,2,2,1,771
2,1,1,2,771
3,0,0,3,771
0,4,1,1,773
1,3,0,2,773
6,0,1,0,777
5,2,0,0,779
1,0,5,0,782
0,2,4,0,784
1,1,3,1,784
2,0,2,2,784
0,3,2,1,786
1,2,1,2,786
2,1,0,3,786
0,4,0,2,788
5,1,1,0,792
6,0,0,1,792
4,3,0,0,794
0,1,5,0,797
1,0,4,1,797
0,2,3,1,799
1,1,2,2,799
2,0,1,3,799
0,3,1,2,801
1,2,0,3,801
5,0,2,0,805
4,2,1,0,807
5,1,0,1,807
3,4,0,0,809
0,0,6,0,810
0,1,4,1,812
1,0,3,2,812
0,2,2,2,814
1,1,1,3,814
2,0,0,4,814
0,3,0,3,816
4,1,2,0,820
5,0,1,1,820
3,3,1,0,822
4,2,0,1,822
2,5,0,0,824
0,0,5,1,825
0,1,3,2,827
1,0,2,3,827
0,2,1,3,829
1,1,0,4,829
4,0,3,0,833
3,2,2,0,835
4,1,1,1,835
5,0,0,2,835
2,4,1,0,837
3,3,0,1,837
1,6,0,0,839
0,0,4,2,840
0,1,2,3,842
1,0,1,4,842
0,2,0,4,844
3,1,3,0,848
4,0,2,1,848
2,3,2,0,850
3,2,1,1,850
4,1,0,2,850
1,5,1,0,852
2,4,0,1,852
0,7,0,0,854
0,0,3,3,855
8,0,0,0,856
0,1,1,4,857
1,0,0,5,857
3,0,4,0,861
2,2,3,0,863
3,1,2,1,863
4,0,1,2,863
1,4,2,0,865
2,3,1,1,865
3,2,0,2,865
0,6,1,0,867
1,5,0,1,867
0,0,2,4,870
7,1,0,0,871
0,1,0,5,872
2,1,4,0,876
3,0,3,1,876
1,3,3,0,878
2,2,2,1,878
3,1,1,2,878
4,0,0,3,878
0,5,2,0,880
1,4,1,1,880
2,3,0,2,880
0,6,0,1,882
7,0,1,0,884
0,0,1,5,885
6,2,0,0,886
2,0,5,0,889
1,2,4,0,891
2,1,3,1,891
3,0,2,2,891
0,4,3,0,893
1,3,2,1,893
2,2,1,2,893
3,1,0,3,893
0,5,1,1,895
1,4,0,2,895
6,1,1,0,899
7,0,0,1,899
0,0,0,6,900
5,3,0,0,901
1,1,5,0,904
2,0,4,1,904
0,3,4,0,906
1,2,3,1,906
2,1,2,2,906
3,0,1,3,906
0,4,2,1,908
1,3,1,2,908
2,2,0,3,908
0,5,0,2,910
6,0,2,0,912
5,2,1,0,914
6,1,0,1,914
4,4,0,0,916
1,0,6,0,917
0,2,5,0,919
1,1,4,1,919
2,0,3,2,919
0,3,3,1,921
1,2,2,2,921
2,1,1,3,921
3,0,0,4,921
0,4,1,2,923
1,3,0,3,923
5,1,2,0,927
6,0,1,1,927
4,3,1,0,929
5,2,0,1,929
3,5,0,0,931
0,1,6,0,932
1,0,5,1,932
0,2,4,1,934
1,1,3,2,934
2,0,2,3,934
0,3,2,2,936
1,2,1,3,936
2,1,0,4,936
0,4,0,3,938
5,0,3,0,940
4,2,2,0,942
5,1,1,1,942
6,0,0,2,942
3,4,1,0,944
4,3,0,1,944
0,0,7,0,945
2,6,0,0,946
0,1,5,1,947
1,0,4,2,947
0,2,3,2,949
1,1,2,3,949
2,0,1,4,949
0,3,1,3,951
1,2,0,4,951
4,1,3,0,955
5,0,2,1,955
3,3,2,0,957
4,2,1,1,957
5,1,0,2,957
2,5,1,0,959
3,4,0,1,959
0,0,6,1,960
1,7,0,0,961
0,1,4,2,962
1,0,3,3,962
9,0,0,0,963
0,2,2,3,964
1,1,1,4,964
2,0,0,5,964
0,3,0,4,966
4,0,4,0,968
3,2,3,0,970
4,1,2,1,970
5,0,1,2,970
2,4,2,0,972
3,3,1,1,972
4,2,0,2,972
1,6,1,0,974
2,5,0,1,974
0,0,5,2,975
0,8,0,0,976
0,1,3,3,977
1,0,2,4,977
8,1,0,0,978
0,2,1,4,979
1,1,0,5,979
3,1,4,0,983
4,0,3,1,983
2,3,3,0,985
3,2,2,1,985
4,1,1,2,985
5,0,0,3,985
1,5,2,0,987
2,4,1,1,987
3,3,0,2,987
0,7,1,0,989
1,6,0,1,989
0,0,4,3,990
8,0,1,0,991
0,1,2,4,992
1,0,1,5,992
7,2,0,0,993
0,2,0,5,994
3,0,5,0,996
2,2,4,0,998
3,1,3,1,998
4,0,2,2,998
1,4,3,0,1000
2,3,2,1,1000
3,2,1,2,1000
4,1,0,3,1000
0,6,2,0,1002
1,5,1,1,1002
2,4,0,2,1002
0,7,0,1,1004
0,0,3,4,1005
7,1,1,0,1006
8,0,0,1,1006
0,1,1,5,1007
1,0,0,6,1007
6,3,0,0,1008
2,1,5,0,1011
3,0,4,1,1011
1,3,4,0,1013
2,2,3,1,1013
3,1,2,2,1013
4,0,1,3,1013
0,5,3,0,1015
1,4,2,1,1015
2,3,1,2,1015
3,2,0,3,1015
0,6,1,1,1017
1,5,0,2,1017
7,0,2,0,1019
0,0,2,5,1020
6,2,1,0,1021
7,1,0,1,1021
0,1,0,6,1022
5,4,0,0,1023
2,0,6,0,1024
1,2,5,0,1026
2,1,4,1,1026
3,0,3,2,1026
0,4,4,0,1028
1,3,3,1,1028
2,2,2,2,1028
3,1,1,3,1028
4,0,0,4,1028
0,5,2,1,1030
1,4,1,2,1030
2,3,0,3,1030
0,6,0,2,1032
6,1,2,0,1034
7,0,1,1,1034
0,0,1,6,1035
5,3,1,0,1036
6,2,0,1,1036
4,5,0,0,1038
1,1,6,0,1039
2,0,5,1,1039
0,3,5,0,1041
1,2,4,1,1041
2,1,3,2,1041
3,0,2,3,1041
0,4,3,1,1043
1,3,2,2,1043
2,2,1,3,1043
3,1,0,4,1043
0,5,1,2,1045
1,4,0,3,1045
6,0,3,0,1047
5,2,2,0,1049
6,1,1,1,1049
7,0,0,2,1049
0,0,0,7,1050
4,4,1,0,1051
5,3,0,1,1051
1,0,7,0,1052
3,6,0,0,1053
0,2,6,0,1054
1,1,5,1,1054
2,0,4,2,1054
0,3,4,1,1056
1,2,3,2,1056
2,1,2,3,1056
3,0,1,4,1056
0,4,2,2,1058
1,3,1,3,1058
2,2,0,4,1058
0,5,0,3,1060
5,1,3,0,1062
6,0,2,1,1062
4,3,2,0,1064
5,2,1,1,1064
6,1,0,2,1064
3,5,1,0,1066
4,4,0,1,1066
0,1,7,0,1067
1,0,6,1,1067
2,7,0,0,1068
0,2,5,1,1069
1,1,4,2,1069
2,0,3,3,1069
0,3,3,2,1071
1,2,2,3,1071
2,1,1,4,1071
3,0,0,5,1071
0,4,1,3,1073
1,3,0,4,1073
5,0,4,0,1075
4,2,3,0,1077
5,1,2,1,1077
6,0,1,2,1077
3,4,2,0,1079
4,3,1,1,1079
5,2,0,2,1079
0,0,8,0,1080
2,6,1,0,1081
3,5,0,1,1081
0,1,6,1,1082
1,0,5,2,1082
1,8,0,0,1083
0,2,4,2,1084
1,1,3,3,1084
2,0,2,4,1084
9,1,0,0,1085
0,3,2,3,1086
1,2,1,4,1086
2,1,0,5,1086
0,4,0,4,1088
4,1,4,0,1090
5,0,3,1,1090
3,3,3,0,1092
4,2,2,1,1092
5,1,1,2,1092
6,0,0,3,1092
2,5,2,0,1094
3,4,1,1,1094
4,3,0,2,1094
0,0,7,1,1095
1,7,1,0,1096
2,6,0,1,1096
0,1,5,2,1097
1,0,4,3,1097
0,9,0,0,1098
9,0,1,0,1098
0,2,3,3,1099
1,1,2,4,1099
2,0,1,5,1099
8,2,0,0,1100
0,3,1,4,1101
1,2,0,5,1101
4,0,5,0,1103
3,2,4,0,1105
4,1,3,1,1105
5,0,2,2,1105
2,4,3,0,1107
3,3,2,1,1107
4,2,1,2,1107
5,1,0,3,1107
1,6,2,0,1109
2,5,1,1,1109
3,4,0,2,1109
0,0,6,2,1110
0,8,1,0,1111
1,7,0,1,1111
0,1,4,3,1112
1,0,3,4,1112
8,1,1,0,1113
9,0,0,1,1113
0,2,2,4,1114
1,1,1,5,1114
2,0,0,6,1114
7,3,0,0,1115
0,3,0,5,1116
3,1,5,0,1118
4,0,4,1,1118
2,3,4,0,1120
3,2,3,1,1120
4,1,2,2,1120
5,0,1,3,1120
1,5,3,0,1122
2,4,2,1,1122
3,3,1,2,1122
4,2,0,3,1122
0,7,2,0,1124
1,6,1,1,1124
2,5,0,2,1124
0,0,5,3,1125
8,0,2,0,1126
0,8,0,1,1126
0,1,3,4,1127
1,0,2,5,1127
7,2,1,0,1128
8,1,0,1,1128
0,2,1,5,1129
1,1,0,6,1129
6,4,0,0,1130
3,0,6,0,1131
2,2,5,0,1133
3,1,4,1,1133
4,0,3,2,1133
1,4,4,0,1135
2,3,3,1,1135
3,2,2,2,1135
4,1,1,3,1135
5,0,0,4,1135
0,6,3,0,1137
1,5,2,1,1137
2,4,1,2,1137
3,3,0,3,1137
0,7,1,1,1139
1,6,0,2,1139
0,0,4,4,1140
7,1,2,0,1141
8,0,1,1,1141
0,1,2,5,1142
1,0,1,6,1142
6,3,1,0,1143
7,2,0,1,1143
0,2,0,6,1144
